stat, value, width, code, quant, switch
Wind, 998.09,5,M{S*6OV}TD,2098,On
Rain, 432.80,22,C{P*5XD}TF,2282,Off
Rain, 510.44,7,B{M*3YO}VS,2243,On
Fog, 932.09,24,R{R*1GW}NW,1814,On
Rain, 797.65,8,R{J*2DZ}GG,2047,On
Snow, 928.63,13,G{W*6UG}DJ,1750,On
Cloud, 566.05,7,W{F*8BJ}GT,1952,On
Shower, 881.88,12,W{H*9TL}BU,2184,On
Sleet,1012.98,6,G{L*9~NO}YQ,1349,On
Shower, 198.35,6,B{V*4AB}JT,1632,On
Cloud, 180.45,8,O{Q*4BX}TR,502,On
Wind, 709.33,8,E{R*8PA}KN,2104,Off
Sun, 446.93,14,H{K*3GF}CH,2191,On
Hail,1067.72,5,D{C*4MD}NJ,1968,On
Shower,  83.00,5,W{O*1JH}ZR,1664,On
Wind,1018.82,7,C{S*4IC}QH,496,On
Cloud, 354.87,7,CH*7MW}FC,2096,On
Fog,1183.59,7,Y{E*1XN}GQ,1430,On
Cloud,1085.10,6,S{K*3AH}KQ,2103,On
Shower, 246.74,6,L{J*2MI}UL,2124,On
Wind, 790.50,5,B{L*1UW}LE,2152,On
Snow,  74.24,13,U{Z*0SL}SH,1914,Off
Fog,1185.63,6,V{B*6WX}VE,401,On
Snow, 646.34,15,P{T*1HZ}AU,2141,On
Sleet, 631.15,21,F{F*5EA}PZ,924,On
Hail, 679.50,5,L{Z*2NE}RH,2094,On
Sleet, 553.49,13,G{L*5IA}WA,1601,On
Moon, 588.49,15,P{E*6SU}CP,599,On
Rain, 701.51,8,J{P*7OG}RX,1162,On
Sky, 349.19,16,X{E*2JE}DI,96,Off
Wind, 997.54,8,M{W*1NP}MM,1597,On
Fog, 514.09,6,H{Q*9BX}NA,467,On
Sun,1211.36,8,M{S*7FH}HE,1303,On
Sleet,1096.93,23,L{P*3RI}GF,1963,On
Sun, 990.07,5,V{D*6LT}TT,947,On
Fog, 611.64,8,T{W*4BP}KJ,2,On
Cloud,1053.72,5,N{L*0XR}QW,347,On
Snow,1119.66,8,J{E*9AR}UJ,1847,Off
Rain, 286.53,7,H{Y*6RI}YU,2064,On
Mist, 390.59,8,S{E*9RP}LI,1796,Off
Wind, 157.11,8,Y{A*0JA}FK,1120,On
Rain,1002.72,7,W{K*2UI}HT,642,On
Sleet,1022.87,5,I{*0YW}CG,147,On
Fog, 482.75,5,Z{P*7WS}VT,352,On
Rain,1123.90,6,F{T*5GH}CC,157,Off
Sleet, 846.86,6,C{Q*3MB}IR,569,On
Sleet, 730.45,6,C{X*3CH}ZK,2277,On
Rain,  71.07,8,A{V*0QG}YJ,1125,On
Rain, 790.92,6,O{W*2RH}LQ,2242,On
Wind, 471.48,6,H{I*6DF}QY,1598,On
Fog, 515.77,8,M{G*0YF}WQ,320,On
Snow, 289.69,5,G{T*3YM}HQ,1835,On
Shower, 723.65,12,Q{S*3LR}XL,112,On
Wind, 879.45,5,S{P*1UV}ZN,2028,On
Snow, 743.00,5,B{*2PT}SI,905,On
Breeze, 240.24,8,F{E*8QB}HD,1722,On
Sun,  67.21,16,U{J*1IJ}KF,1496,On
Rain,1075.94,5,K{H*6OKd}DC,2047,On
Sun,1022.44,9,W{V*3DP}XK,286,On
Cloud, 931.13,22,H{A*70I}FU,1038,On
Sleet,1171.72,6,V{C*9U>}VN,990,On
Fog, 211.68,6,D{O*8IT}XF,1982,On
Moon, 532.50,13,U{X*8PO}JA,231,On
Shower,1137.81,6,B{*1ZY}KS,1743,On
Fog,1024.11,6,H{F*2YY}DT,355,On
Cloud, 746.94,6,Y{V*1KS}XU,2179,On
Wind, 381.86,8,F{S*7PM}UM,968,Off
Cloud, 107.79,6,U{P*1XL}PU,1038,Off
Breeze, 697.89,6,C{I*TEJ}QP,775,On
Sun, 186.03,6,G{F*4RX}GZ,303,On
Fog, 940.73,8,M{E*2IB}ZI,1003,On
Breeze,1096.43,8,E{Q*3JF}BJ,1667,On
Shower, 874.08,7,R{R*6WH}CJ,1980,Off
Breeze, 117.58,6,S{H*8HB}FZ,1865,On
Rain,1086.54,5,{F*5DG}UK,1530,Off
Snow,1024.55,6,B{Q*7VI}QR,1826,On
Rain, 940.32,6,U{C*9SI}YT,1761,On
Shower, 233.16,21,O{N*8ZG}QB,288,On
Sky,1119.77,12,H{V*3BD}OS,1248,On
Fog, 427.29,8,Z{K*6GB}HX,557,On
Sun, 861.33,7,L{K3*7WI}LA,2093,On
Sun, 713.16,5,Q{V*8AT}JW,603,On
Fog, 647.51,22,G{E*6IFCHK,2131,On
Fog, 500.90,7,T{N*6UG}TD,1851,On
Sun,1214.06,8,K{V*5KT}HB,1897,On
Fog,  67.00,8,Y{A*6IL}KO,1260,Off
Snow,1143.46,5,Q{U*7HR}TJ,1467,On
Sun, 951.82,6,X{G*5SX}QS,2277,Off
Sleet, 271.73,5,E{Y*J3JL}LX,494,On
Rain,1119.53,8,X{N*9RY}QV,1745,On
Rain, 905.50,5,UZW*8EI}FJ,1448,On
Moon, 872.20,6,G{Q*6ES}HI,1452,On
Wind, 913.00,8,Z{J*2LG}KS,388,Off
Rain,1142.62,8,X{P*7CU}YC,1946,On
Sky,1035.48,7,E{H*0CY}OB,2119,Off
Fog, 577.35,5,F{Y*9LU}HS,1804,On
Snow,1042.08,8,Y{F*7ET}XT,1385,On
Cloud, 428.07,6,S{X*7OT}MI,1211,On
Sun, 928.27,18,I{N*9JD}WG,1536,On
Shower, 315.81,16,V{L*%IA}TD,142,On
Fog,1191.28,17,T{F*1WD}MQ,2073,On
Snow,1159.73,23,E{P*1MI}MS,2294,Off
Wind,1002.42,8,b{D*1PP}IA,237,On
Cloud,1075.74,24,G{V*5CK}SU,1908,Off
Cloud, 917.80,6,L{V*0QU}QR,1846,On
Moon, 254.96,8,H{L*0MA}FV,850,On
Breeze, 693.17,7,S{B*9DF}FS,1743,Off
Rain, 999.95,8,Q{M*3WF}JP,2130,On
Rain, 911.29,18,A{X*3IR}KX,2010,On
Breeze,  84.36,8,X{A*6ZL}BF,1727,On
Cloud, 822.49,6,Q{L*4DS}TM,1310,On
Wind, 215.77,8,R{T*4VT}TH,1119,On
Breeze, 663.83,8,Q{B*6CP}OS,756,Off
Fog,1170.37,5,X{F*5GL}FD,2140,On
Fog, 108.84,8,P{W*7OZ}CO,1569,On
Cloud, 731.13,7,W{T*0W2}JJ,1663,On
Snow, 824.60,6,V{V45HX}IY,705,On
Wind, 889.54,7,I{S*6JR}QY,2261,On
Sun, 284.69,8,R{C*1ZB}VH,1764,On
Snow,1102.92,17,Y{M*0UX}X,1607,On
Fog,1133.04,5,Y{O*1CJ}EY,1237,On
Sky,1211.28,8,X{N*5UV}KR,1699,Off
Cloud, 698.04,8,SJH*1HH}LF,1838,On
Mist, 460.92,6,D{O*8IE}NF,2010,Off
Sleet, 802.80,7,G{O*9G8}EQ,1192,On
Cloud,  49.82,8,F{V*1CC}CP,1920,On
Mist, 505.69,7,N{Z*7TH}KV,1541,On
Breeze, 257.88,23,S{P*8FC}RQ,1126,On
Rain, 914.53,5,R{X*3IX}MQ,2204,On
Sun,1160.22,19,G{M*3KD}0P,2107,Off
Sun, 959.21,5,J{J*8GQ}FB,1972,On
Rain, 810.08,8,S{U*6UC}AQ,1419,On
Fog, 856.78,13,L{H*2GE}AG,229,Off
Cloud, 756.60,8,S{P*2TH}ZM,1875,Off
Hail, 848.67,9,A{S*7HE}AA,1703,On
Wind,1032.06,6,L{Y*0EM}VT,86,On
Rain, 141.13,9,O{Z*5L6S}HE,289,On
Sun, 890.28,5,X{S*0WS}CI,675,On
Rain, 845.77,22,P+{V*4FW}XY,654,On
Cloud,1034.49,8,E{Y*9UM}UQ,491,On
Breeze, 833.19,16,R{A*7KK}WI,1693,On
Fog,1030.76,13,O{L*6PI}rG,1460,On
Cloud,1188.30,5,U{*2RU}WG,1742,On
Shower,1129.79,7,P{S*4RR}WQ,1890,On
Cloud, 998.71,8,N{D*5CZ}KU,589,On
Fog,1016.82,5,U{S*0H]M}NW,1439,On
Rain, 475.07,8,F{H*4W}ZY,430,On
Cloud,1033.05,5,H{D*6UN}MC,922,On
Wind, 789.72,6,I{F*7BX}QA,1637,On
Rain, 687.19,8,M{X*2RE}QY,449,On
Sun,  16.00,5,E{E*3BX}VV,1549,On
Fog, 327.84,5,G{W*0SY}QS,1044,On
Rain, 757.66,8,W{B*2KU}DI,1754,On
Snow,1107.14,6,O{V*0WM}CM,1275,On
Cloud, 796.47,13,E{B*0DAFY,225,On
Sun, 374.19,7,F{D*0SR}JI,1405,On
Shower,1011.27,6,R{E*7MJ}DM,616,On
Cloud, 201.90,5,P{I*7RG}RK,1968,Off
Rain, 213.73,13,C{L*0GF}HB,730,Off
Snow, 867.90,9,D{E*0MS}SV,2284,On
Mist, 964.80,8,D{C*6JJ}VE,1648,On
Sun,1024.05,7,P{C*8HR}HR,63,On
Shower, 642.67,7,E){Q*3PG}ZS,1571,On
Fog, 315.75,5,U{Y*5ZNNR,1471,On
Rain, 843.12,6,I{E*2LQ}nOZ,838,On
Cloud,1144.43,6,R{S*4BX}CS,314,On
Sun, 570.30,6,SDA*7CG}LY,1888,Off
Wind,  33.21,5,X{U*3LI}TV,176,On
Fog, 431.66,5,I{M*1IV}ND,1659,On
Sun, 116.20,10,K{Y*9TJ}WR,54,On
Snow,  62.39,5,A{C*4UH}EC,934,On
Wind,  25.94,7,qS{B*0SV}HB,1714,Off
Hail, 719.48,5,T{X*4LS}WJ,1498,On
Snow, 865.81,6,Q{L*2UC}HW,561,On
Rain, 997.16,17,T{L*1KR}SU,562,On
Sleet,1051.17,6,O{R*7PA}CC,1527,On
Cloud,1006.87,8,S{K*9YT}DH,1861,On
Rain, 692.45,6,T{W*3UI}EV,193,On
Fog,  44.41,8,N{C*9XP}KW,2081,On
Rain, 601.89,7,C{O*7MA}GC,1805,On
Hail, 458.24,9,O{R*5LV}RU,1828,On
Fog, 132.59,8,P{M*2VH}RA,199,On
Rain,1140.25,5,B{P*5GR}AI,1330,Off
Sleet, 765.60,17,A{C*0GP}RG,270,On
Wind, 930.82,7,K{O*7KP}RT,1404,On
Fog, 694.28,6,D{W*6AKjKS,1818,On
Snow,1021.95,9,Q{E*UFB}NG,99,On
Fog, 149.43,6,S{V*2XD}OC,479,On
Sun, 392.14,6,V{I*7UY}CD,1779,On
Sun, 793.33,6,U{Y*6MB}VK,1476,On
Fog, 716.10,6,I{Q*7UC}BW,1484,On
Sleet, 829.70,6,A{R*9EO}GM,1892,On
Fog,  16.59,7,J{F*2FD}TF,1152,Off
Wind, 644.40,16,QCS*0LR}EP,482,On
Rain,  92.84,20,T{F*7NW}VR,1379,On
Rain, 868.63,7,O{O*5WV}RW,256,On
Fog, 292.81,6,N{K*1VT}QU,561,On
Mist, 806.66,7,M{R*4XH}QI,396,On
Fog, 700.60,7,B{N*0ZC}YS,1637,On
Breeze,1083.22,8,R{G*7NS}OK,878,On
Sleet, 516.13,5,J{P*0PS}JP,2182,On
Fog, 210.90,7,d{W*1RV}NW,2015,Off
Fog, 726.30,8,C{P*3ZP}YP,1284,On
Sun,1099.35,5,u{B*0RJ}OC,2220,On
Snow, 288.63,5,I{X*2FS}NH,612,On
Sun, 374.16,8,Q{R*2CR}R,1643,On
Snow, 693.15,20,N{C*6LC}AG,2249,On
Cloud,1099.37,6,Y{H*4CJ}SO,1509,On
Cloud, 172.76,7,E{B*6QA}LP,525,On
Fog,1056.74,16,Q{B*3XO}YU,1573,On
Snow, 902.34,8,D{U*2ES}IT,1247,On
Sleet,1065.40,8,M{H*8VL}RH,481,On
Hail, 890.37,5,VD*6DM}BH,549,On
Breeze,1112.82,8,A{U*#DE}VF,1885,On
Shower, 834.71,6,H{S*9FJ}BY,1582,Off
Snow, 734.40,5,M{M*7QN}TA,238,On
Cloud, 823.61,16,Q{C*2HY}JI,1904,On
Shower,1165.39,8,N{S*8KU}KO,1477,On
Wind, 949.97,7,M{Y*6LO}RA,2018,On
Cloud, 456.86,20,W{T*4KP}JX,2230,On
Snow, 667.43,16,J{U*3VZ}AQ,1587,On
Cloud, 744.34,16,Q{B*0PZ}EE,1686,On
Mist, 299.45,21,A{P*8XA}JE,1507,On
Fog, 472.57,8,B{Z*7GA}BG,2090,On
Fog, 367.76,8,O{F*5EE}BB,2180,On
Mist, 721.25,6,R{X*8PV}DT,1747,On
Shower,1060.96,8,R{Z*5ZD}VM,1716,On
Wind, 655.99,23,S{K*38B}LM,1136,On
Fog,1186.67,5,M{G*2AT}ZL,1100,On
Fog, 968.01,5,I{A*1ND}LI,1483,On
Sky, 187.47,5,Z{Y*1OI}VC,1476,On
Moon, 884.51,7,B{U*2JJ}SA,714,On
Rain, 921.61,8,X{Cw2BR}NT,743,On
Sleet, 151.50,6,J{T*JHQ}GG,645,On
Shower, 456.15,7,U{J*6JW}QM,376,On
Sun, 854.00,8,F{F*7SO}HY,1818,On
Cloud,  28.67,6,O{R*>RI}PE,307,On
Snow, 674.24,8,B{E*1QA}UG,1376,On
Shower, 696.54,13,P{K*6ZS}UD,2191,On
Rain,1097.29,8,W{I*5WV}UI,770,On
Snow, 911.36,14,Y{D*6HI}IL,2148,On
Snow, 733.24,7,R{U*1JU}QI,931,On
Cloud, 239.49,5,I{V*7JI}WL,346,On
Fog, 978.44,5,T{L*7TM}IS,2175,On
Sun, 696.81,5,O{V*0GT}OK,1260,On
Rain,  32.05,7,I{R*5YW}UN,2244,Off
Mist, 551.20,24,P{E*7VG}UE,2000,On
Rain, 609.86,7,FpH*5VU}SQ,1839,Off
Rain,1221.84,8,V{G*2WI}YW,1528,On
Snow, 613.61,6,N{W*7SS}GZ,1895,On
Sleet,1062.60,21,JwN*2KZ}PH,846,Off
Wind, 705.09,8,D{C*9XF}AB,1751,On
Sun, 780.37,18,J{W*4OB}NA,304,On
Fog, 788.91,7,D{U*1DW}XL,267,On
Fog, 290.67,6,N{Q*6VY}XL,1698,On
Snow,  22.75,6,V{O*6E}BY,1790,Off
Breeze,1132.99,7,O{Z*9CX}JL,1069,On
Rain, 747.55,7,H{S*9TI}PC,2029,On
Breeze,1044.05,12,T{C*3IQ}OO,816,On
Sleet, 755.77,6,G{J*5MQ}AX,1992,On
Shower, 917.52,8,F{S*2FD}EF,1496,On
Cloud, 568.95,24,Q{Q*2OE}YD,593,On
Cloud, 223.16,5,S{W*4LP}DJ,127,On
Moon, 264.06,18,H{2*3TA}SN,1878,On
Sun,1029.18,6,C{J*4UW}SD,1319,Off
Fog,1003.66,6,W{R*0UA}JD,1276,On
Shower, 774.93,5,L{A*6FA}GH,1466,On
Shower, 843.87,5,N{U*6EQ}NU,560,On
Fog, 220.86,6,J{B*0HO}XE,1203,On
Shower, 965.99,6,F{K*7SJ}VF,1592,Off
Shower, 737.81,5,%{N*8IO}XS,2293,On
Rain, 774.26,24,M{Y*0U0E}LJ,2152,On
Snow,1041.57,8,C{O*0MJ}CI,1422,On
Fog, 667.44,8,{Q*3YN}WM,1875,On
Rain, 276.26,6,F{H*7II}KJ,906,On
Snow, 963.67,7,J{S*7OD}YY,466,Off
Fog, 999.72,20,O{V*0JM}PQ,2035,On
Rain, 736.08,6,V{I*8HL}QQ,1510,On
Cloud, 918.35,8,C{X*3PG}ZW,2123,On
Rain,1209.40,6,T{Y*5TB}WX,2064,On
Wind,1219.91,6,B{G*1JTT}TD,812,Off
Fog, 386.42,14,H{W*1NB}YT,1965,On
Rain, 268.28,6,H{N*4NC}WW,150,On
Mist, 337.78,10,U{C*2OL}PI,1021,On
Wind, 616.44,6,Y{I*7TIp}BU,1818,On
Snow, 921.77,6,J{X*6LD}XC,1841,On
Cloud, 317.54,9,D{T*9QI}YJ,1491,On
Sun, 883.77,7,E{Y*6LY}QZ,1796,On
Sun, 993.65,6,C{N*7MK}AK,1842,On
Fog, 853.28,8,X{D*7LQ}XV,1504,On
Fog,  43.10,6,N{T*2CP}CL,1877,On
Cloud, 822.27,14,R{T*8OE}IB,908,Off
Wind, 227.39,23,R{L*4UO}EY,2185,On
Sleet, 858.09,8,Y{B*9WJ}YF,1776,On
Sun, 906.57,5,E{A*3OW[}GZ,965,On
Rain, 807.88,22,D{M*0QV}SR,1023,On
Rain,1161.40,11,I{L*9VT}YA,1320,On
Snow,1039.65,5,Y{U*5RV}IN,750,On
Rain,1147.32,6,K{C*4EY}YY,1960,On
Snow, 877.98,7,U{F*3OD}AD,2103,On
Snow,1131.66,5,X{F*2KX}TQ,2117,On
Breeze, 834.30,13,N{O*5RU}AJ,1625,On
Breeze, 271.43,19,V{O*7KV}AA,1725,On
Breeze, 847.92,6,T{F*2HV}AV,2293,On
Shower, 715.21,6,R{R*0MB}JT,103,On
Sky, 391.55,5,S{V*U8AU}BR,181,On
Snow, 946.49,5,T{L*4PV}KZ,1027,On
Sleet,1098.79,7,V{I*6KH}KM,474,On
Sleet, 500.82,6,V{K*6OZ}KP,1201,On
Shower,1189.06,6,I{L*3ZR}PG,401,On
Fog, 649.47,8,G{J*5WD}BK,1479,On
Rain, 879.12,5,A{B*7EO}AD,1835,On
Cloud, 505.84,13,N{T*PZC}TB,1707,On
Mist, 742.55,8,D{O*7WH}BJ,396,Off
Cloud, 865.51,20,V{D*1W7V}YF,221,On
Moon,1112.45,19,B{C*0FY}HB,1630,On
Cloud,1064.45,8,y{G*9TI}JV,2285,On
Shower, 123.93,5,J{X*2SI}RD,418,On
Cloud, 826.60,8,F{X*0TM}LV,1732,Off
Fog, 590.80,8,Z{G*9AQ}YO,801,On
Sun, 445.41,5,L{W*8NR}AW,2126,On
Snow, 374.97,7,U{L*7NW}FT,2001,On
Sun, 125.80,6,S{H*8MB}SB,1565,On
Cloud, 690.67,8,R{C*2BG}GX,1441,On
Mist, 769.74,7,H{F*0CU}WJ,1419,On
Sun,1059.01,8,Q{Q*7EX}DG,210,Off
Breeze, 575.72,8,V{F*2LZ}KJ,1827,On
Rain, 331.46,6,F{C*5WK}SF,1693,On
Wind,  18.92,7,R{V*7PC}HN,446,On
Fog, 325.68,8,V{Q*3QV}PG,1381,On
Wind,  96.52,7,R{M*9HF}ZS,1417,On
Sun, 181.08,5,Y{F*0GN}GC,2140,On
Sun, 761.20,7,B{Z*8IC}FR,2195,Off
Breeze,1121.88,21,eU{U*6IJ}NV,1688,On
Cloud, 869.34,6,J{S*7HI}MY,1454,On
Fog, 944.87,8,N{B*2TD}CC,874,On
Cloud,1219.24,24,I{R*3LF}EF,37,On
Fog, 921.99,8,B{E*6QQ}IZ,1574,On
Snow, 317.84,23,M{Z*6BE}EH,959,On
Cloud,1063.82,19,Z{*2XF}KK,2115,On
Sleet, 484.29,8,D{R*3HJ}KT,1599,On
Cloud, 791.17,8,&{X*7MO}OI,1332,On
Fog, 285.22,6,G{F*0YV}ZV,1620,On
Cloud, 434.62,19,W{P*4FZ}UD,2069,On
Fog,1123.07,7,V{S*1RKWY,1694,On
Fog, 749.58,5,G{J*8IV}FM,463,On
Fog, 603.14,7,X{E*8RD}VP,1083,On
Wind, 200.58,5,F{O*7NW}GX,2071,On
Sky, 507.73,8,B{X*4WT}US,1576,On
Mist, 108.22,7,T{P*9OU}EQ,1874,On
Cloud,1094.21,9,U{W*7VX}FR,2159,On
Breeze, 304.06,22,JN*9WL}WC,361,On
Fog, 565.78,5,K{M*8WF}SO,2149,On
Rain, 784.60,7,W{V*3UR}HQ,1681,On
Fog, 310.41,7,B{J*OUT}QJ,1423,On
Shower, 484.24,8,S{K*3NO}ZV,2269,On
Sun,1090.61,5,F{H*3BBpQH,312,On
Sun,1196.83,5,Q{S*1WI}HH,1530,On
Snow, 359.58,5,G{V*9VB}JK,2253,On
Sleet,  65.44,10,R{E*1D0}ZV,920,On
Rain, 201.99,7,P{X*9DD}LV,106,Off
Cloud, 216.24,24,B{Y*1JD}NO,956,On
Rain, 820.31,8,B{J*7WJ}PD,1793,On
Shower,1107.51,6,A{M*2JP}DF,307,On
Shower, 368.62,13,W{V*9AY}ET,102,On
Cloud, 594.30,20,Y{O*2YV}AM,1936,On
Cloud,1213.07,14,R{F*9EX}QA,505,On
Cloud, 883.33,6,Y{5*8ZM}VM,512,Off
Snow,  51.26,8,K{O*5GD}AB,507,On
